PX,PX_TYPE
26520,CH
26525,CH
26530,CH
26531,CH
26535,CH
26536,CH
26540,CH
26541,CH
26542,CH
26545,CH
26546,CH
26548,CH
26550,CH
26551,CH
26553,CH
26554,CH
26555,CH
26556,CH
26560,CH
26561,CH
26562,CH
26565,CH
26567,CH
26568,CH
26580,CH
26587,CH
26590,CH
26591,CH
26593,CH
26596,CH
26615,CH
26665,CH
26685,CH
26686,CH
26715,CH
26735,CH
26746,CH
26765,CH
26785,CH
26820,CH
26841,CH
26842,CH
26843,CH
26844,CH
26850,CH
26852,CH
26860,CH
26862,CH
26910,CH
26951,CH
26952,CH
26990,CH
26992,CH
27000,CH
27001,CH
27003,CH
27005,CH
27006,CH
27025,CH
27027,CH
27030,CH
27033,CH
27035,CH
27036,CH
27045,CH
27048,CH
27049,CH
27054,CH
27057,CH
27059,CH
27060,CH
27062,CH
27065,CH
27066,CH
27067,CH
27070,CH
27071,CH
27075,CH
27076,CH
27077,CH
27078,CH
27079,CH
27080,CH
27090,CH
27091,CH
27097,CH
27098,CH
27100,CH
27105,CH
27110,CH
27111,CH
27120,CH
27122,CH
27125,CH
27130,CH
27132,CH
27134,CH
27137,CH
27138,CH
27140,CH
27146,CH
27147,CH
27151,CH
27156,CH
27158,CH
27161,CH
27165,CH
27170,CH
27175,CH
27176,CH
27177,CH
27178,CH
27179,CH
27181,CH
27185,CH
27187,CH
27202,CH
27215,CH
27217,CH
27218,CH
27226,CH
27227,CH
27228,CH
27236,CH
27244,CH
27245,CH
27248,CH
27253,CH
27254,CH
27258,CH
27259,CH
27269,CH
27279,CH
27280,CH
27282,CH
27284,CH
27286,CH
27290,CH
27295,CH
27301,CH
27303,CH
27305,CH
27306,CH
27307,CH
27310,CH
27315,CH
27320,CH
27325,CH
27326,CH
27328,CH
27329,CH
27331,CH
27332,CH
27333,CH
27334,CH
27335,CH
27339,CH
27340,CH
27345,CH
27347,CH
27350,CH
27355,CH
27356,CH
27357,CH
27360,CH
27364,CH
27365,CH
27380,CH
27381,CH
27385,CH
27386,CH
27390,CH
27391,CH
27392,CH
27393,CH
27394,CH
27395,CH
27396,CH
27397,CH
27400,CH
27403,CH
27405,CH
27407,CH
27409,CH
27412,CH
27415,CH
27416,CH
27418,CH
27420,CH
27422,CH
27424,CH
27425,CH
27427,CH
27428,CH
27429,CH
27430,CH
27435,CH
27437,CH
27438,CH
27440,CH
27441,CH
27442,CH
27443,CH
27445,CH
27446,CH
27447,CH
27448,CH
27450,CH
27454,CH
27455,CH
27457,CH
27465,CH
27466,CH
27468,CH
27470,CH
27472,CH
27475,CH
27477,CH
27479,CH
27485,CH
27486,CH
27487,CH
27488,CH
27495,CH
27496,CH
27497,CH
27498,CH
27499,CH
27506,CH
27507,CH
27511,CH
27513,CH
27514,CH
27519,CH
27524,CH
27535,CH
27536,CH
27540,CH
27556,CH
27557,CH
27558,CH
27566,CH
27570,CH
27580,CH
27590,CH
27591,CH
27592,CH
27594,CH
27596,CH
27598,CH
27600,CH
27601,CH
27602,CH
27603,CH
27605,CH
27606,CH
27607,CH
27610,CH
27612,CH
27615,CH
27616,CH
27619,CH
27620,CH
27625,CH
27626,CH
27630,CH
27634,CH
27635,CH
27637,CH
27638,CH
27640,CH
27641,CH
27645,CH
27646,CH
27647,CH
27650,CH
27652,CH
27654,CH
27656,CH
27658,CH
27659,CH
27664,CH
27665,CH
27675,CH
27676,CH
27680,CH
27681,CH
27685,CH
27686,CH
27687,CH
27690,CH
27691,CH
27695,CH
27696,CH
27698,CH
27700,CH
27702,CH
27703,CH
27704,CH
27705,CH
27707,CH
27709,CH
27712,CH
27715,CH
27720,CH
27722,CH
27724,CH
27725,CH
27726,CH
27727,CH
27730,CH
27732,CH
27734,CH
27740,CH
27742,CH
27745,CH
27758,CH
27759,CH
27766,CH
27769,CH
27784,CH
